he	NIL
Buchenwald	http://dbpedia.org/resource/Buchenwald_concentration_camp
Bratislava	http://dbpedia.org/resource/Bratislava
Eliot	http://dbpedia.org/resource/T._S._Eliot
Italy	http://dbpedia.org/resource/Italy
Jesus Christ	http://dbpedia.org/resource/Jesus
Hungary	http://dbpedia.org/resource/Hungary
Professor	http://dbpedia.org/resource/Professor
Sarah Feig	NIL
airman	http://dbpedia.org/resource/Airman
William Golding	http://dbpedia.org/resource/William_Golding
Mandela	http://dbpedia.org/resource/Nelson_Mandela
Dublin	http://dbpedia.org/resource/Dublin
Herbert Charles Brown	http://dbpedia.org/resource/Herbert_C._Brown
his	http://dbpedia.org/resource/Elie_Wiesel
Dulbecco	http://dbpedia.org/resource/Renato_Dulbecco
Maria Goeppert	http://dbpedia.org/resource/Maria_Goeppert-Mayer
resident	http://dbpedia.org/resource/Residency_(medicine)
Fellow	http://dbpedia.org/resource/Fellow
Goeppert Mayer	http://dbpedia.org/resource/Maria_Goeppert-Mayer
he	http://dbpedia.org/resource/Pablo_Neruda
Martonvásár	http://dbpedia.org/resource/Martonvásár
Presidential Council of Advisors on Science and Technology	http://dbpedia.org/resource/United_States_President's_Council_of_Advisors_on_Science_and_Technology
Howard University	http://dbpedia.org/resource/Howard_University
Germany	http://dbpedia.org/resource/Germany
Christian minister	http://dbpedia.org/resource/Minister_(Christianity)
San Diego	http://dbpedia.org/resource/San_Diego
Natta	http://dbpedia.org/resource/Giulio_Natta
Senator	NIL
Society of Fellows	http://dbpedia.org/resource/Harvard_Society_of_Fellows
Institute of Industrial Chemistry	NIL
New England	http://dbpedia.org/resource/New_England
his	http://dbpedia.org/resource/Martti_Ahtisaari
Cor Gorter	http://dbpedia.org/resource/Cornelis_Jacobus_Gorter
University of Massachusetts Amherst	http://dbpedia.org/resource/University_of_Massachusetts_Amherst
One of the them	NIL
father	NIL
Basel Institute for Immunology	http://dbpedia.org/resource/Basel_Institute_for_Immunology
foreign associate	NIL
Rutherford	http://dbpedia.org/resource/Ernest_Rutherford
South Africa's Cape Province	http://dbpedia.org/resource/Cape_Province
Magdalene College	http://dbpedia.org/resource/Magdalene_College,_Cambridge
Sicily	http://dbpedia.org/resource/Sicily
he	http://dbpedia.org/resource/Samuel_Beckett
Jan Neruda	http://dbpedia.org/resource/Jan_Neruda
member	http://dbpedia.org/resource/Member
Impressionist painter	NIL
she	http://dbpedia.org/resource/Linda_B._Buck
he	http://dbpedia.org/resource/Salvatore_Quasimodo
daughter	http://dbpedia.org/resource/Daughter
man	NIL
James Tobin	http://dbpedia.org/resource/James_Tobin
RCA	http://dbpedia.org/resource/RCA
Capecchi	http://dbpedia.org/resource/Mario_Capecchi
poet	http://dbpedia.org/resource/Poet
Jane Somers	http://dbpedia.org/resource/Doris_Lessing
Milton Academy	http://dbpedia.org/resource/Milton_Academy
J. Hans D. Jensen	http://dbpedia.org/resource/J._Hans_D._Jensen
Pasteur Institute	http://dbpedia.org/resource/Pasteur_Institute
Repubblica Sociale Italiana	http://dbpedia.org/resource/Italian_Social_Republic
She	http://dbpedia.org/resource/Elizabeth_Blackburn
Schott Glass	http://dbpedia.org/resource/Schott_AG
Imperia	http://dbpedia.org/resource/Imperia
professor	http://dbpedia.org/resource/Professor
Columbia University	http://dbpedia.org/resource/Columbia_University
González Videla	http://dbpedia.org/resource/Gabriel_González_Videla
Zagreb	http://dbpedia.org/resource/Zagreb
Osijek	http://dbpedia.org/resource/Osijek
University of Leiden	http://dbpedia.org/resource/Leiden_University
Michael Smith	http://dbpedia.org/resource/Michael_Smith_(chemist)
Giulio Natta	http://dbpedia.org/resource/Giulio_Natta
Kansas City	http://dbpedia.org/resource/Kansas_City_metropolitan_area
Adele Montalcini	NIL
Lago Maggiore	http://dbpedia.org/resource/Lake_Maggiore
University of Turin	http://dbpedia.org/resource/University_of_Turin
He	NIL
Associate Professor	http://dbpedia.org/resource/Professor
Mario Capecchi	http://dbpedia.org/resource/Mario_Capecchi
KwaZulu Provincial Division	http://dbpedia.org/resource/KwaZulu-Natal_Division
President	http://dbpedia.org/resource/President
his	NIL
Thomas Eliot	http://dbpedia.org/resource/T._S._Eliot
Jena	http://dbpedia.org/resource/Jena
Paris	http://dbpedia.org/resource/Paris
journalist	http://dbpedia.org/resource/Journalist
Victor Verster Prison	http://dbpedia.org/resource/Susumu_Tonegawa
he	http://dbpedia.org/resource/Martti_Ahtisaari
archaeologist	http://dbpedia.org/resource/Archaeology
full professor	http://dbpedia.org/resource/Professor
Director	http://dbpedia.org/resource/Director_(business)
Fulvio	NIL
Irma Szakmáry	NIL
Jean-Baptiste Sartre	NIL
Akira Suzuki	http://dbpedia.org/resource/Akira_Suzuki_(chemist)
University of Hokkaidō	http://dbpedia.org/resource/Hokkaido_University
scientist	http://dbpedia.org/resource/Scientist
Transylvania	http://dbpedia.org/resource/Transylvania
Sarajevo	http://dbpedia.org/resource/Sarajevo
he	http://dbpedia.org/resource/Walther_Bothe
Romania	http://dbpedia.org/resource/Romania
principal	http://dbpedia.org/resource/Principal_(academia)
Mullis	http://dbpedia.org/resource/Kary_Mullis
Kyoto University	http://dbpedia.org/resource/Kyoto_University
bishop	http://dbpedia.org/resource/Bishop
church	http://dbpedia.org/resource/Church_(building)
Copenhagen	http://dbpedia.org/resource/Copenhagen
Trinity College, Cambridge	http://dbpedia.org/resource/Trinity_College,_Cambridge
Cambridge	http://dbpedia.org/resource/Cambridge
Marcel Proust	http://dbpedia.org/resource/Marcel_Proust
Newquay	http://dbpedia.org/resource/Newquay
Paul Tillich	http://dbpedia.org/resource/Paul_Tillich
Jewish	http://dbpedia.org/resource/Jews
woman	NIL
president	http://dbpedia.org/resource/President
University of Hamburg	http://dbpedia.org/resource/University_of_Hamburg
primary school	http://dbpedia.org/resource/Primary_school
Marguerite Vogt	http://dbpedia.org/resource/Marguerite_Vogt
University of California	http://dbpedia.org/resource/University_of_California,_San_Diego
Elizabeth II	http://dbpedia.org/resource/Elizabeth_II
Sakmann	http://dbpedia.org/resource/Bert_Sakmann
electrical engineer	NIL
Wiltshire	http://dbpedia.org/resource/Wiltshire
Barack Obama	http://dbpedia.org/resource/Barack_Obama
London	http://dbpedia.org/resource/London
faculty member	http://dbpedia.org/resource/Faculty_(academic_staff)
scholar	NIL
his	http://dbpedia.org/resource/David_Gross
Carpathian Mountains	http://dbpedia.org/resource/Carpathian_Mountains
medical school	NIL
Zeiss	http://dbpedia.org/resource/Carl_Zeiss_AG
France	http://dbpedia.org/resource/France
Kadima	http://dbpedia.org/resource/Kadima
South Africa	http://dbpedia.org/resource/South_Africa
Czech	http://dbpedia.org/resource/Czechs
Prelog	http://dbpedia.org/resource/Vladimir_Prelog
author	http://dbpedia.org/resource/Author
her	http://dbpedia.org/resource/Rita_Levi-Montalcini
Dario Fo	http://dbpedia.org/resource/Dario_Fo
Tokyo	http://dbpedia.org/resource/Tokyo
him	http://dbpedia.org/resource/Pablo_Neruda
his	http://dbpedia.org/resource/William_Golding
Catanzaro	http://dbpedia.org/resource/Catanzaro
Richard Kuhn	http://dbpedia.org/resource/Richard_Kuhn
God	http://dbpedia.org/resource/God
Levi-Montalcini	http://dbpedia.org/resource/Rita_Levi-Montalcini
Pauli	http://dbpedia.org/resource/Wolfgang_Pauli
Princeton University	http://dbpedia.org/resource/Princeton_University
Marlborough Grammar School	http://dbpedia.org/resource/Marlborough_Royal_Free_Grammar_School
painter	NIL
Luciano Capecchi	NIL
Eugene Wigner	http://dbpedia.org/resource/Eugene_Wigner
Wiesel	http://dbpedia.org/resource/Elie_Wiesel
Serpent Street	NIL
École Normale Supérieure	http://dbpedia.org/resource/École_Normale_Supérieure
his	http://dbpedia.org/resource/Albert_Fert
Israel Academy of Sciences and Humanities	http://dbpedia.org/resource/Israel_Academy_of_Sciences_and_Humanities
Mussolini	http://dbpedia.org/resource/Benito_Mussolini
Her	http://dbpedia.org/resource/Rita_Levi-Montalcini
Politecnico di Milano	http://dbpedia.org/resource/Polytechnic_University_of_Milan
Fert	http://dbpedia.org/resource/Albert_Fert
Elizabeth Blackburn	http://dbpedia.org/resource/Elizabeth_Blackburn
University of Western Ontario	http://dbpedia.org/resource/University_of_Western_Ontario
faculty	NIL
his	http://dbpedia.org/resource/Richard_Adolf_Zsigmondy
His	http://dbpedia.org/resource/Shinya_Yamanaka
Quasimodo	http://dbpedia.org/resource/Salvatore_Quasimodo
PTR	NIL
Ciechanover	http://dbpedia.org/resource/Aaron_Ciechanover
England	http://dbpedia.org/resource/England
US	http://dbpedia.org/resource/United_States
Geiger	http://dbpedia.org/resource/Hans_Geiger
he	http://dbpedia.org/resource/William_Golding
her	NIL
diplomatic positions	http://dbpedia.org/resource/Diplomatic_rank
Imre	NIL
Sighet	http://dbpedia.org/resource/Sighetu_Marmației
Robert F. Kennedy	http://dbpedia.org/resource/Robert_F._Kennedy
Lutuli	http://dbpedia.org/resource/Albert_Lutuli
Boy Scouts of America	http://dbpedia.org/resource/Boy_Scouts_of_America
Manchester Centre for Mesoscience and Nanotechnology	http://dbpedia.org/resource/Manchester_Centre_for_Mesoscience_and_Nanotechnology
Michael Joseph	http://dbpedia.org/resource/Michael_Joseph_(publisher)
Alexander S. Langsdorf	http://dbpedia.org/resource/Alexander_Langsdorf,_Jr.
she	http://dbpedia.org/resource/Rita_Levi-Montalcini
Johns Hopkins University	http://dbpedia.org/resource/Johns_Hopkins_University
Bertha Camilla Schütz	NIL
Senator for Life	http://dbpedia.org/resource/Senator_for_life
Blackpool, Lancashire, England	http://dbpedia.org/resource/Blackpool
person	NIL
Pontifical Academy of Sciences	http://dbpedia.org/resource/Pontifical_Academy_of_Sciences
Hulse	http://dbpedia.org/resource/Russell_Alan_Hulse
Amalfi	http://dbpedia.org/resource/Amalfi
lecturer 	http://dbpedia.org/resource/Lecturer
french	http://dbpedia.org/resource/French_people
Zewail	http://dbpedia.org/resource/Ahmed_Zewail
family	NIL
Nagoya	http://dbpedia.org/resource/Nagoya
Institute for Advanced Study	NIL
New York City	http://dbpedia.org/resource/New_York_City
Madison, Wisconsin	http://dbpedia.org/resource/Madison,_Wisconsin
Gaetano Quasimodo	NIL
Royal Aircraft Establishment	http://dbpedia.org/resource/Royal_Aircraft_Establishment
assistant	http://dbpedia.org/resource/Research_assistant
French	http://dbpedia.org/resource/French_people
Hans Geiger	http://dbpedia.org/resource/Hans_Geiger
Nelson Mandela	http://dbpedia.org/resource/Nelson_Mandela
Senate of Italy	http://dbpedia.org/resource/Senate_of_the_Republic_(Italy)
Harvard Medical School	http://dbpedia.org/resource/Harvard_Medical_School
Massachusetts	http://dbpedia.org/resource/Massachusetts
Benito Mussolini	http://dbpedia.org/resource/Benito_Mussolini
Lessing	http://dbpedia.org/resource/Doris_Lessing
he	http://dbpedia.org/resource/Vladimir_Prelog
St. Louis	http://dbpedia.org/resource/St._Louis
His	http://dbpedia.org/resource/Dario_Fo
Umkhonto we Sizwe	http://dbpedia.org/resource/Umkhonto_we_Sizwe
lecturer	http://dbpedia.org/resource/Lecturer
Frank Aydelotte	http://dbpedia.org/resource/Frank_Aydelotte
Karl Ziegler	http://dbpedia.org/resource/Karl_Ziegler
Leggiuno Sangiano	http://dbpedia.org/resource/Leggiuno
Zurich	http://dbpedia.org/resource/Zürich
United States	http://dbpedia.org/resource/United_States
fellow	http://dbpedia.org/resource/Fellow
she	http://dbpedia.org/resource/Toni_Morrison
Sarah Lawrence College	http://dbpedia.org/resource/Sarah_Lawrence_College
He	http://dbpedia.org/resource/William_Golding
Harvard University	http://dbpedia.org/resource/Harvard_University
Zsigmondy	http://dbpedia.org/resource/Richard_Adolf_Zsigmondy
she	http://dbpedia.org/resource/Maria_Goeppert-Mayer
Michael	NIL
director	http://dbpedia.org/resource/Director_(business)
